E_i,S_i
143,451
156,449
124,445
177,443
31,441
199,439
163,434
134,432
26,430
76,424
111,421
37,420
5,418
199,416
45,415
11,412
133,411
48,410
118,409
82,405
74,402
63,397
9,396
157,394
113,392
196,390
43,386
40,384
76,383
114,382
135,380
25,379
110,378
145,377
98,376
146,375
147,374
22,373
65,370
199,369
29,368
63,367
143,366
24,365
20,364
40,357
46,353
53,352
21,350
163,348
154,346
180,345
80,344
87,337
37,334
122,333
176,332
158,331
190,330
158,329
13,328
141,327
186,326
196,324
122,323
28,322
93,321
20,320
79,319
47,318
156,317
195,315
173,313
28,312
85,311
180,310
52,309
10,308
43,307
171,306
10,305
144,304
138,302
88,299
140,297
131,296
134,290
153,289
12,287
165,286
189,284
196,282
92,280
121,279
10,272
104,271
170,270
165,269
190,268
5,267
104,266
199,264
144,260
184,259
165,258
87,257
165,256
84,255
37,253
197,249
135,248
135,247
56,246
200,245
86,244
138,243
127,242
98,240
71,234
26,232
159,231
40,230
186,229
34,228
40,226
132,225
199,224
199,223
64,221
181,219
133,218
52,216
108,215
150,214
140,211
27,206
109,204
4,202
83,199
112,197
56,195
187,194
66,189
91,183
117,182
44,181
29,178
192,177
27,173
7,172
107,171
182,170
66,168
173,167
36,166
199,165
35,163
10,161
125,160
37,159
63,158
167,157
23,156
198,155
181,154
59,153
36,152
45,151
72,150
200,149
86,147
48,146
69,145
10,143
43,139
197,138
172,137
104,136
52,135
175,134
148,132
29,131
105,126
35,125
129,121
79,120
104,118
140,117
64,115
83,108
104,104
43,103
87,102
60,99
69,97
94,92
138,91
43,88
141,87
93,86
124,85
40,84
34,83
177,81
146,80
43,79
28,78
170,77
34,74
122,68
90,66
144,65
135,64
74,63
187,60
94,59
89,57
97,56
138,55
83,54
26,53
66,52
45,51
134,50
156,48
5,47
70,46
24,45
11,44
80,43
19,42
43,39
28,35
29,34
13,33
77,32
154,31
101,30
139,29
7,28
22,23
41,16
125,15
95,14
184,10
192,9
134,8
63,7
185,3
149,2
