E_i,S_i
19370,29469
26351,29468
16310,29467
17251,29463
14171,29462
9544,29458
12752,29457
22757,29455
3963,29454
21153,29452
5645,29450
26721,29449
4727,29448
8806,29446
5757,29444
29744,29441
18821,29439
20940,29435
19389,29432
14737,29431
16711,29430
13522,29428
26150,29425
19113,29424
13329,29423
3695,29422
200,29420
6640,29418
26236,29416
14689,29415
12557,29411
13767,29410
7296,29407
1643,29402
1908,29400
2401,29399
14443,29395
17883,29394
16297,29392
26374,29390
20243,29388
3531,29387
2025,29385
3113,29384
17724,29382
3135,29380
17521,29379
1450,29377
28050,29376
22339,29373
19425,29368
3356,29365
14231,29362
9961,29359
5272,29356
28567,29355
10492,29349
11903,29348
7030,29344
5142,29343
20989,29342
16940,29341
8232,29338
21446,29335
28914,29333
19059,29332
21820,29330
21483,29329
25615,29328
12319,29327
1156,29326
12763,29325
5666,29322
2451,29320
21647,29319
11047,29316
3251,29314
4152,29312
10024,29311
1329,29310
26117,29305
10874,29302
12284,29299
16398,29298
26011,29297
22101,29296
7082,29294
11038,29292
5381,29291
15449,29286
27451,29285
28625,29281
14617,29278
3505,29277
14158,29275
28041,29273
25781,29272
28401,29270
9199,29268
29546,29266
6650,29263
13644,29261
19596,29257
8487,29256
25420,29252
4737,29251
20366,29250
12360,29249
28105,29246
6313,29243
15438,29239
9245,29236
21793,29232
8436,29230
5901,29229
24125,29228
6195,29227
4439,29226
14923,29220
19422,29219
17241,29216
24540,29212
21668,29209
16418,29206
7972,29205
12415,29204
16251,29202
20330,29201
12607,29199
25604,29198
19013,29197
25193,29195
18967,29193
16474,29189
5024,29187
12636,29186
6382,29183
3740,29182
16102,29180
1938,29179
199,29171
28586,29170
27012,29167
22844,29166
5492,29164
10522,29163
11820,29162
22807,29161
2098,29155
15126,29154
8804,29153
21916,29152
7947,29151
12134,29150
705,29149
1743,29148
22622,29146
24550,29144
19897,29143
29533,29142
5868,29140
27634,29136
17984,29133
13971,29129
16288,29126
6211,29125
27606,29122
3137,29121
28765,29113
19189,29111
2828,29108
13935,29107
15527,29106
13587,29105
23885,29103
14084,29101
17232,29098
21599,29097
11707,29093
19367,29089
8260,29085
22460,29083
14365,29080
17753,29079
11774,29078
4836,29077
28398,29073
13724,29069
7871,29068
1775,29065
12227,29064
15061,29063
9976,29062
22782,29061
13024,29060
12314,29059
23542,29058
6328,29056
12997,29055
5722,29054
954,29053
29694,29052
26845,29051
10380,29049
11007,29047
9947,29046
22035,29045
28020,29041
24535,29040
17997,29034
9906,29033
24009,29032
14916,29031
13531,29030
29943,29027
3315,29025
15893,29024
22668,29023
7658,29022
1160,29021
11402,29020
26688,29019
3236,29017
2516,29016
11933,29013
29405,29011
8949,29010
25273,29007
21494,29006
4386,29005
3762,29004
159,29003
28712,29000
13226,28999
9420,28995
15192,28993
4015,28992
12862,28990
8551,28987
5870,28983
9792,28981
5998,28980
25718,28979
14912,28976
20071,28975
3686,28974
17159,28973
23588,28970
2711,28969
2869,28968
10525,28966
15974,28964
17598,28962
3043,28961
6485,28960
11917,28959
14498,28957
22617,28954
12022,28950
390,28949
1877,28945
6435,28942
17622,28941
2745,28940
17593,28939
10942,28938
8562,28937
13993,28935
28592,28934
23253,28933
6522,28931
11459,28928
639,28925
8027,28921
21257,28917
23372,28915
21551,28906
20487,28902
1410,28899
2689,28898
20294,28896
25404,28895
28535,28894
1059,28888
4937,28887
5224,28886
28152,28883
29975,28881
28710,28880
12980,28879
23,28876
1499,28875
9251,28872
1694,28871
2076,28870
26752,28869
21895,28868
12378,28867
29855,28866
2389,28865
4379,28863
6671,28862
18286,28860
19563,28859
29260,28858
22341,28855
5369,28848
3590,28847
24501,28843
20928,28841
1569,28839
165,28836
10882,28829
16684,28827
26814,28824
2491,28817
5789,28815
17409,28813
18938,28812
8980,28810
22045,28809
1106,28808
14395,28807
17283,28806
8361,28804
16164,28800
19561,28799
19337,28798
6696,28794
23346,28793
29404,28791
3936,28789
9696,28788
15339,28787
17170,28785
29458,28782
11166,28781
8742,28780
24545,28777
24914,28774
19201,28773
20748,28771
19444,28768
25463,28767
6516,28765
2238,28764
12462,28762
27429,28761
12744,28757
29173,28754
29208,28752
29190,28751
25402,28749
28428,28747
8265,28746
13932,28744
28717,28743
22018,28737
14188,28735
11166,28734
4224,28731
96,28729
26128,28728
7721,28724
18906,28723
18437,28716
8309,28715
3906,28711
4840,28710
20529,28709
524,28708
19984,28707
22992,28705
27628,28701
5726,28698
23365,28695
16497,28692
27757,28691
16436,28690
3039,28689
1371,28688
12072,28678
23573,28675
9195,28672
20607,28668
12424,28667
13182,28665
16814,28664
7286,28663
22862,28660
28993,28657
4263,28656
28367,28655
463,28652
27835,28651
13146,28648
16110,28647
10296,28646
3669,28643
6640,28640
27945,28639
5717,28638
17992,28637
16505,28636
25891,28635
2896,28634
22767,28633
12918,28631
26621,28629
13507,28627
24959,28624
16997,28623
564,28622
21378,28621
17537,28620
15934,28619
13030,28616
15329,28613
16210,28611
23188,28605
15812,28603
26705,28602
27927,28598
17387,28597
20382,28593
11816,28592
17376,28591
20803,28590
5133,28588
2373,28587
27011,28586
441,28585
774,28584
13629,28577
1382,28575
12932,28570
13370,28569
8302,28564
18969,28562
13746,28561
28436,28559
16943,28555
18073,28554
25402,28553
5850,28550
18993,28549
8533,28547
7024,28542
2558,28541
2547,28538
9776,28537
6717,28534
12575,28530
22627,28528
23661,28527
412,28526
12332,28525
16073,28522
9801,28520
16070,28517
16336,28513
25388,28510
890,28508
26696,28507
17364,28506
5022,28505
11019,28504
9859,28502
17915,28501
25194,28500
29374,28498
25278,28496
22479,28494
15315,28488
6771,28487
6194,28485
26000,28483
4364,28480
27811,28478
11704,28477
25908,28476
12958,28473
26031,28469
16466,28467
20015,28464
22458,28463
28119,28462
1948,28460
13535,28454
10193,28450
562,28449
13143,28447
26492,28446
8592,28445
22614,28443
23199,28440
1208,28438
8834,28433
1952,28429
1227,28427
23209,28421
10119,28418
25957,28415
26155,28414
1349,28412
29826,28411
166,28409
28307,28403
6903,28402
25787,28401
22281,28400
16086,28397
3702,28396
181,28395
7021,28392
1236,28387
6977,28386
1360,28385
29222,28384
22447,28381
27990,28380
19810,28379
28255,28378
27692,28376
19273,28375
5606,28374
5264,28369
9480,28364
7949,28363
7504,28360
12988,28352
25735,28351
7869,28350
9814,28349
26102,28346
22898,28343
27463,28342
1309,28340
4384,28339
11207,28338
14065,28337
15268,28334
12259,28332
9978,28327
4715,28325
24877,28323
1998,28321
22361,28320
1591,28319
21505,28318
18829,28316
12388,28313
4449,28312
8889,28306
9419,28305
2304,28304
3516,28303
27982,28302
26023,28301
13827,28300
822,28295
17934,28294
11290,28290
14250,28286
12511,28285
28497,28283
8665,28282
8079,28280
22657,28271
9017,28270
21890,28269
8843,28268
10159,28267
24073,28266
5128,28265
23486,28264
15160,28263
16449,28261
7032,28260
23228,28259
21694,28258
13159,28255
25692,28254
27775,28253
8655,28251
10042,28249
3182,28247
6679,28245
11919,28244
26324,28240
1060,28239
22724,28236
28824,28234
6825,28232
23330,28229
27768,28228
23797,28227
6012,28224
25693,28223
11862,28222
11670,28221
7821,28217
6494,28216
7607,28215
24499,28213
28497,28212
4414,28211
1061,28210
12300,28208
5331,28207
20388,28204
3421,28200
17581,28198
27800,28196
29674,28195
2513,28194
23146,28193
23445,28191
10135,28189
13518,28184
4457,28181
21642,28180
534,28176
9842,28171
6049,28168
24322,28167
3100,28164
2137,28162
1422,28161
19540,28159
1085,28158
4348,28157
25330,28156
24492,28155
27089,28154
29242,28152
8401,28151
1633,28149
3336,28145
29819,28143
9756,28140
15787,28139
5315,28135
18375,28134
27337,28129
16631,28127
26843,28124
3435,28122
29302,28117
25765,28116
3037,28114
21054,28110
956,28105
78,28104
9656,28102
692,28101
353,28100
8094,28098
16918,28097
28339,28096
5087,28095
25311,28094
29191,28092
17114,28090
7094,28088
15178,28087
21040,28086
11087,28085
14798,28084
1062,28083
1732,28082
28059,28081
23806,28080
16155,28079
10240,28078
26989,28073
12561,28072
21144,28069
24314,28068
21112,28067
13946,28065
26303,28064
13977,28060
17597,28059
19724,28058
8401,28056
17046,28055
20936,28054
8253,28052
10954,28050
24727,28047
17512,28046
18675,28045
12438,28044
13929,28042
12543,28040
13371,28036
25345,28035
27306,28034
25662,28033
3496,28032
19765,28031
24041,28029
5122,28027
8717,28026
19403,28025
7784,28024
17060,28023
14972,28022
4768,28021
21332,28020
27806,28014
60,28009
3004,28007
22754,28004
22645,28000
26000,27999
12411,27996
11874,27995
16507,27994
962,27992
12429,27990
9152,27989
26074,27986
6053,27985
17493,27984
3081,27982
26345,27981
266,27980
29962,27979
5816,27978
26167,27976
3206,27974
16334,27973
6693,27970
11262,27969
23624,27968
19375,27967
24678,27965
20456,27964
16212,27962
4791,27961
8551,27960
13410,27959
22032,27956
15847,27955
5509,27953
610,27948
25426,27946
7729,27945
11712,27944
22849,27943
4083,27940
917,27939
2638,27937
18472,27936
19886,27935
29898,27933
1969,27932
878,27930
21673,27927
28500,27926
20890,27924
16623,27923
23847,27922
20464,27921
27506,27908
19101,27907
25570,27906
12243,27901
19830,27899
3039,27898
3186,27896
24996,27895
18747,27893
14376,27891
18126,27890
28282,27888
5815,27887
4800,27886
13179,27883
28583,27881
13367,27880
26257,27876
10555,27875
16774,27874
26999,27873
547,27869
14603,27866
14551,27865
8034,27864
15852,27861
19157,27860
24039,27859
18175,27857
29152,27854
3163,27853
20577,27851
12479,27847
21121,27846
11902,27845
5296,27844
7025,27843
1704,27841
7633,27839
17634,27836
24699,27835
12870,27833
19761,27831
18292,27830
23798,27828
25794,27825
11933,27822
17647,27820
19874,27818
4764,27813
20,27808
19729,27806
2650,27805
23463,27804
6620,27799
2664,27796
25177,27793
4840,27791
9794,27790
2156,27789
15659,27788
21552,27785
29598,27783
13023,27782
1211,27781
11849,27778
765,27775
2349,27772
11804,27771
15513,27769
992,27767
23795,27762
9460,27760
29272,27758
29739,27756
6126,27755
11297,27754
20855,27753
27814,27752
29163,27748
26420,27745
3122,27743
4102,27742
27202,27741
13694,27740
61,27735
4335,27730
824,27727
25887,27725
961,27723
2263,27720
11396,27718
29343,27717
2098,27716
8605,27715
12693,27714
9741,27713
14954,27711
21072,27710
3404,27709
5723,27708
12664,27707
18469,27701
22745,27700
2114,27697
22890,27696
4661,27695
11909,27686
17402,27684
19676,27683
10901,27682
20951,27681
26707,27680
20174,27678
26353,27677
12400,27676
12127,27674
24713,27672
4732,27671
2659,27669
23012,27667
19866,27666
7874,27662
593,27659
12962,27658
27579,27657
9866,27654
8642,27651
13060,27647
20610,27646
29367,27644
19412,27643
2704,27639
4229,27637
28379,27634
16753,27632
4296,27631
10053,27629
4151,27627
23231,27625
12696,27623
27015,27621
9688,27620
29921,27613
24197,27612
12798,27611
333,27609
13104,27604
23920,27603
29596,27602
1449,27600
15711,27594
14332,27593
10065,27592
14262,27591
25793,27590
27936,27589
23917,27586
17391,27585
8133,27584
18652,27583
20694,27579
3537,27578
865,27575
11796,27574
26098,27573
18514,27572
14478,27570
17710,27569
17902,27568
18911,27566
19041,27565
22392,27562
14882,27561
3145,27559
19805,27558
18433,27557
29736,27554
27448,27553
20557,27552
23831,27550
29438,27549
12667,27548
3492,27547
4535,27546
3040,27544
15790,27543
18700,27541
13239,27538
26424,27536
27439,27535
19041,27533
22836,27531
3033,27530
26550,27526
18361,27525
905,27520
13426,27515
13924,27513
21320,27510
387,27509
25475,27501
22345,27500
15963,27499
14253,27498
23530,27497
7866,27496
9914,27494
23595,27493
782,27492
16245,27490
5412,27488
13118,27486
23151,27484
23304,27480
17458,27478
21492,27475
6835,27473
11084,27471
23719,27469
28023,27466
9770,27465
6849,27464
7215,27463
8922,27461
24832,27459
4202,27458
12788,27457
14168,27455
27036,27454
25749,27453
25665,27452
1699,27450
18707,27448
6418,27447
11600,27446
11649,27444
9272,27443
6073,27437
28285,27434
5881,27433
6883,27432
1054,27431
11823,27430
16255,27429
1949,27428
1940,27427
7078,27426
15784,27424
10346,27423
22561,27421
1720,27420
16575,27418
6634,27415
5471,27414
5725,27413
11360,27411
26354,27410
22653,27409
28752,27407
27247,27405
7950,27403
23146,27402
5292,27401
15500,27400
3408,27398
22566,27397
3974,27396
12258,27395
25605,27391
18578,27385
8898,27379
15258,27378
29983,27377
14123,27373
18742,27372
25315,27369
20839,27368
29264,27367
5615,27366
8468,27365
8131,27364
14899,27363
10766,27361
9704,27358
19071,27354
13063,27352
10400,27351
13903,27349
16452,27347
13886,27345
17614,27343
11662,27342
2711,27340
10591,27339
21868,27337
2936,27336
8628,27333
27788,27330
15196,27326
9280,27324
19713,27323
17986,27319
10720,27317
17538,27316
19220,27315
19346,27312
352,27310
7378,27309
15610,27304
12961,27303
29150,27301
13848,27300
23979,27296
16833,27292
26848,27287
25997,27284
11808,27275
4267,27267
11424,27266
15893,27264
22254,27263
18785,27262
19604,27258
3093,27256
23942,27255
1207,27254
11993,27251
7664,27250
24003,27249
1833,27248
29805,27247
4369,27245
19403,27244
19890,27243
1145,27242
784,27241
17829,27239
28541,27237
14153,27236
25564,27235
18122,27232
23635,27231
4219,27230
26432,27229
24622,27225
3071,27224
21572,27222
10479,27219
10557,27218
2387,27213
4173,27208
3682,27207
10395,27206
7460,27205
7030,27203
7939,27197
21423,27196
9583,27194
26787,27193
10159,27191
7259,27190
12880,27188
25484,27186
11677,27184
17103,27182
10530,27180
20477,27178
2596,27175
4168,27174
8937,27172
28910,27171
14902,27169
1277,27168
23778,27167
9367,27165
15893,27164
28332,27161
6664,27160
26748,27158
19474,27156
23143,27155
16672,27150
9116,27149
8913,27148
3887,27147
21120,27145
4419,27144
4378,27143
22676,27141
15621,27140
1004,27136
14583,27133
20060,27132
16869,27131
29860,27128
20890,27127
15242,27125
20434,27123
7870,27122
5397,27121
28836,27120
7364,27116
13846,27111
17114,27109
381,27106
2499,27102
26665,27101
20381,27094
28707,27092
4946,27090
20485,27086
18196,27085
6103,27083
1348,27081
15794,27080
1864,27079
26252,27078
10803,27075
3914,27073
169,27071
24349,27070
24766,27069
29399,27067
25767,27064
587,27063
1739,27062
22842,27061
233,27060
5249,27059
14283,27057
22802,27054
1202,27052
18416,27050
22016,27049
8469,27048
11576,27046
8254,27044
8059,27042
180,27041
6432,27039
7179,27038
12899,27037
25540,27036
14808,27035
12813,27033
19503,27031
8124,27025
22371,27023
8703,27021
8141,27019
10467,27018
16562,27017
13431,27016
14264,27013
27568,27012
9540,27011
23994,27010
8784,27007
28463,27006
19488,27004
9156,27001
20676,27000
17208,26999
903,26997
21775,26993
1402,26991
21192,26990
20232,26989
14590,26988
29807,26986
28994,26985
22085,26982
12866,26979
11744,26974
4052,26968
15283,26964
2150,26961
8794,26957
12636,26954
4292,26950
11289,26949
25405,26940
27937,26939
29405,26938
6482,26936
27237,26934
29799,26933
18170,26932
8962,26931
12578,26929
8431,26928
4990,26927
29056,26925
15767,26924
4822,26919
28962,26917
11742,26916
10118,26912
2563,26911
6366,26910
17072,26909
24849,26901
23028,26900
18448,26899
29285,26896
16964,26894
12123,26893
8610,26880
3082,26878
1110,26877
18055,26875
6890,26873
3575,26872
8347,26868
14160,26867
14318,26865
22998,26864
4511,26863
22307,26862
7473,26861
15899,26860
20316,26859
20721,26858
19029,26856
14791,26854
20492,26853
12645,26852
19469,26851
17205,26850
432,26849
9090,26848
4265,26847
3250,26841
16844,26839
4280,26834
11166,26831
26083,26828
25267,26824
1037,26823
25804,26818
15878,26815
21782,26814
2093,26807
1636,26806
9361,26802
8992,26800
17500,26799
19145,26798
4594,26797
21116,26796
20623,26794
13509,26793
27275,26789
14335,26786
14371,26785
13494,26784
6936,26782
9974,26781
21287,26778
16376,26777
14336,26774
12662,26773
6670,26770
29775,26769
25214,26767
14199,26766
8403,26764
13493,26762
19568,26760
3996,26756
29158,26755
7424,26751
7811,26749
2123,26748
11427,26745
17416,26744
12518,26742
9723,26741
28498,26740
28706,26739
1213,26738
24280,26737
7104,26736
5256,26734
371,26731
5853,26727
6094,26726
13254,26725
19229,26723
21132,26722
28863,26721
8429,26719
7159,26718
24796,26715
18460,26714
7974,26712
9494,26709
28920,26707
15541,26706
20971,26704
20111,26702
5134,26696
7237,26695
12106,26693
18231,26692
4212,26691
9802,26690
27653,26689
12597,26687
5851,26684
8261,26679
22259,26678
10361,26675
3025,26674
1169,26673
2404,26672
13743,26671
15207,26669
19615,26667
9564,26666
10356,26662
28447,26661
25715,26660
23032,26659
18589,26658
8318,26654
19164,26653
20825,26652
21785,26651
28198,26650
21376,26649
11682,26646
19321,26644
7734,26643
26744,26642
2948,26640
6394,26639
7400,26637
24481,26636
19344,26632
21608,26631
29333,26630
8479,26629
5392,26628
29750,26626
17101,26623
15020,26619
13183,26618
7236,26617
17785,26615
26994,26611
14106,26609
10536,26604
26897,26603
12390,26600
10690,26599
3781,26597
19832,26596
11013,26592
22595,26591
18472,26589
7840,26588
14564,26587
13822,26586
21566,26584
12303,26583
25010,26581
16798,26580
29203,26579
5876,26578
12099,26575
24303,26573
9259,26571
16484,26567
8722,26566
6980,26565
13575,26555
15895,26553
16549,26548
15744,26546
16368,26545
22349,26543
5343,26542
21146,26541
21579,26536
796,26535
18913,26534
7657,26529
27458,26528
1212,26526
16156,26525
24775,26524
22805,26523
439,26520
19232,26514
543,26513
9267,26507
13209,26503
19174,26501
14510,26500
8421,26498
26690,26497
18363,26493
20848,26492
29148,26491
12638,26490
6845,26489
15484,26488
12005,26487
18666,26486
26060,26479
24498,26478
3272,26475
6014,26474
4354,26473
13908,26472
25200,26471
6754,26470
24593,26468
7179,26467
14015,26464
3222,26462
8023,26461
17304,26460
14854,26454
21773,26451
23276,26449
20848,26448
3154,26445
24170,26441
21259,26440
18442,26435
23571,26434
9608,26433
10893,26431
11590,26430
23484,26429
6846,26428
18798,26426
26801,26424
21862,26423
12290,26422
2606,26421
14740,26420
29889,26416
6738,26415
5586,26414
16499,26413
3759,26412
986,26410
6012,26408
15724,26407
23081,26406
20230,26405
24345,26403
18708,26402
25735,26400
23676,26399
22772,26398
18013,26396
18131,26395
21312,26394
19695,26393
10217,26386
4151,26382
5346,26381
25318,26374
18222,26373
11179,26372
11603,26371
15162,26370
5854,26369
24673,26367
23310,26366
6219,26364
20982,26361
23553,26359
12990,26358
20460,26356
15928,26355
20595,26354
8457,26353
277,26351
7497,26347
11380,26346
606,26345
5524,26344
15676,26343
16787,26342
15421,26338
29260,26336
7833,26335
13043,26331
780,26329
717,26328
13005,26326
9942,26325
1163,26324
27028,26321
26849,26317
6950,26315
22941,26314
2889,26310
28734,26307
28190,26306
308,26304
8426,26303
2496,26300
14933,26298
4412,26297
10674,26295
1402,26293
311,26292
1953,26291
11986,26289
9816,26288
14736,26287
21811,26286
16636,26283
10266,26282
17119,26280
2184,26279
5256,26278
26414,26276
4969,26275
11868,26273
26676,26272
1343,26271
3101,26270
8438,26268
19527,26267
13442,26264
23119,26263
27545,26262
29401,26260
26549,26259
22441,26257
14267,26254
16590,26253
3127,26251
1322,26250
12281,26249
17166,26247
9780,26245
1388,26242
24555,26239
10094,26238
14291,26237
22636,26235
23220,26234
27159,26232
25541,26224
6241,26222
9657,26221
28017,26220
17823,26219
10813,26218
4229,26217
5533,26215
11588,26212
16022,26211
16584,26210
29495,26209
26356,26204
20784,26203
17745,26202
8839,26201
19981,26200
4279,26197
29794,26194
12769,26193
7667,26189
8542,26187
22667,26183
7921,26182
315,26181
8588,26180
4723,26177
24063,26174
17490,26173
838,26166
29950,26164
23985,26161
9180,26159
29899,26158
14371,26154
9451,26151
24026,26150
12402,26148
26429,26143
10708,26141
267,26139
28957,26137
4831,26130
11446,26129
22937,26126
9998,26125
14202,26124
6203,26119
19253,26118
5065,26116
6302,26107
3748,26106
2415,26100
12821,26098
24446,26096
23179,26095
6331,26090
28081,26089
7414,26087
8816,26086
22999,26085
17569,26079
18915,26078
3210,26077
21008,26074
14079,26069
7316,26068
18346,26067
894,26066
2514,26065
27226,26061
26754,26060
21340,26059
8771,26058
9292,26056
25211,26051
17784,26049
5304,26048
23348,26046
1824,26042
1789,26041
23152,26040
6643,26039
15730,26037
7119,26036
29490,26033
13688,26030
5825,26027
16394,26022
692,26020
6227,26019
11237,26015
329,26013
22341,26012
10657,26009
23356,26008
6329,26007
13503,26006
8153,26003
23446,26002
20167,26001
13721,25999
20077,25993
17373,25987
25116,25984
13933,25983
11428,25982
28884,25980
25245,25977
18098,25972
10603,25971
5849,25970
28832,25969
25837,25968
28529,25966
17145,25963
7535,25962
24048,25961
165,25960
10161,25957
20020,25954
3072,25953
28777,25952
27691,25951
5777,25950
10799,25949
9307,25948
24306,25945
825,25944
29206,25943
26148,25939
18667,25938
1056,25935
8040,25934
8666,25932
24127,25931
14984,25929
8328,25927
29984,25926
1533,25925
86,25924
24051,25921
1823,25915
20166,25911
16918,25908
28544,25907
1202,25905
24459,25904
29231,25903
4318,25900
26147,25899
17313,25898
13532,25896
20983,25893
4440,25891
8543,25890
25674,25887
15004,25886
26676,25885
15030,25884
1246,25883
9943,25879
26184,25877
24008,25871
13117,25870
17625,25868
14127,25867
9578,25866
22560,25865
13215,25863
9107,25862
19280,25860
10947,25859
18505,25856
11063,25855
12531,25854
29741,25852
27941,25848
22279,25847
28386,25843
13992,25841
17685,25840
21683,25839
14802,25835
19236,25834
23152,25833
2483,25830
970,25828
383,25827
22240,25825
25228,25824
14178,25823
18814,25822
24643,25820
15142,25818
28399,25817
15104,25814
26080,25811
12597,25810
569,25809
28734,25808
18659,25807
14680,25805
6297,25802
884,25801
14879,25799
13871,25796
8242,25795
16223,25794
4497,25793
15034,25792
9878,25791
13314,25790
17,25787
26215,25785
5327,25784
28778,25782
21283,25780
6535,25779
15074,25777
19874,25772
6040,25769
5779,25768
22834,25767
19721,25765
7908,25764
19395,25763
22208,25762
14063,25759
28261,25756
6988,25753
22444,25752
11382,25751
8116,25750
28151,25747
633,25745
24136,25741
5787,25740
23802,25739
1213,25735
25041,25733
4575,25732
23051,25731
29017,25730
13837,25729
9355,25726
18280,25724
6624,25723
27705,25722
20589,25721
8251,25720
7526,25719
2326,25718
7924,25717
23074,25715
13561,25714
18620,25712
37,25711
5263,25710
7375,25708
8759,25707
12938,25706
28216,25704
2717,25702
20802,25701
25171,25692
5428,25687
21216,25685
19384,25681
23398,25680
3999,25678
8790,25677
5948,25674
10768,25673
21690,25672
19772,25671
17821,25667
21922,25666
9121,25665
25226,25662
20698,25661
17239,25660
27239,25659
6004,25658
24750,25657
5630,25656
393,25651
22224,25649
11784,25646
1769,25645
5334,25644
11807,25642
9489,25640
17509,25639
9166,25634
29038,25632
22376,25629
22957,25628
11038,25625
20454,25624
26909,25623
10493,25621
6657,25620
25731,25619
9948,25617
22203,25610
9230,25608
24249,25607
3880,25605
22476,25604
14199,25603
29077,25599
19131,25591
20297,25589
3017,25588
20285,25587
29556,25586
2230,25585
29869,25583
5523,25580
28004,25579
17231,25576
8935,25574
13884,25573
7969,25569
24720,25568
29832,25567
11531,25566
660,25565
4484,25564
1684,25562
3683,25560
27029,25558
22972,25553
1628,25552
8746,25549
18816,25545
21382,25543
19466,25542
29436,25539
28867,25538
2020,25537
14431,25535
13626,25534
23648,25531
20409,25529
11026,25528
15,25523
15576,25519
3971,25518
17868,25517
16662,25512
13013,25511
28836,25510
22302,25509
3116,25508
6279,25507
24676,25504
1125,25503
25829,25500
25853,25499
27177,25498
9249,25497
16814,25496
26409,25495
25545,25494
15556,25493
7788,25492
15921,25491
21544,25490
15471,25485
3606,25484
19017,25483
4524,25482
20330,25478
29206,25475
27574,25473
7616,25472
27743,25471
17386,25469
2380,25467
3543,25465
10642,25463
24879,25462
20425,25458
17925,25455
8845,25454
20270,25451
17537,25450
27296,25449
11882,25444
19443,25443
28149,25442
11275,25441
4575,25440
11073,25439
29136,25435
5894,25431
27899,25429
5847,25427
11584,25424
3657,25423
8017,25422
16035,25421
19959,25416
24144,25414
27086,25413
8747,25412
7863,25410
22508,25409
17605,25406
10373,25405
17885,25404
22933,25403
27011,25400
1179,25399
17598,25397
27061,25396
18473,25392
19042,25390
22029,25387
2755,25386
16183,25384
27050,25383
25588,25381
8435,25376
15012,25375
25672,25374
3384,25373
11937,25369
3400,25367
11460,25365
28329,25364
15901,25363
26409,25362
28429,25358
9133,25355
12786,25354
17983,25351
25716,25348
15489,25347
3759,25345
18518,25344
25618,25342
24938,25340
22184,25338
2630,25336
8759,25335
16172,25333
2764,25331
24594,25326
13922,25324
20737,25322
11524,25321
6287,25320
893,25319
8051,25316
29165,25315
29664,25312
3302,25311
13702,25304
20617,25303
1986,25302
15485,25301
2609,25300
