E_i,S_i
11341,19047
15281,19046
15597,19045
16324,19044
16582,19042
19849,19040
3170,19039
7525,19034
13599,19032
11231,19031
1483,19029
19711,19027
18371,19026
1079,19025
7389,19023
8349,19022
14551,19018
4486,19017
8054,19016
19127,19010
16001,19009
2766,19007
11866,19004
873,19001
12023,18998
8578,18995
657,18990
14131,18987
4889,18986
19465,18985
13211,18983
19972,18982
5005,18980
14818,18978
9102,18974
9379,18970
1782,18968
16323,18966
9702,18964
10524,18962
4514,18961
14451,18958
15953,18957
14163,18954
19174,18951
839,18949
10340,18948
16020,18947
18662,18946
228,18945
8514,18938
18311,18936
13369,18933
9661,18930
4111,18928
14737,18927
9126,18925
8265,18923
15926,18921
9866,18920
15621,18918
9430,18915
11059,18905
6151,18901
1520,18900
14600,18898
17253,18897
16493,18892
9162,18889
6101,18887
11226,18881
18666,18876
13905,18872
3466,18871
16709,18869
18622,18867
17011,18866
7558,18865
308,18863
2723,18862
5442,18860
13702,18858
13117,18856
5729,18855
16507,18852
1922,18850
16852,18849
4802,18848
15948,18846
1698,18845
9661,18844
13796,18842
19535,18841
1878,18840
17375,18838
4876,18833
17208,18831
7822,18830
10219,18829
2228,18826
16007,18823
1441,18821
3783,18815
13843,18814
10871,18813
2293,18810
7185,18808
11444,18806
12370,18805
16355,18803
6108,18800
873,18799
4706,18797
12490,18796
10885,18793
1105,18792
4138,18791
4232,18789
1700,18788
8365,18787
10047,18786
13510,18778
13962,18776
3453,18773
8397,18771
21,18770
19409,18766
4094,18764
3704,18761
4794,18759
19107,18756
12958,18755
15702,18754
16158,18752
990,18748
15625,18747
6386,18736
12716,18734
15053,18733
10072,18732
19507,18730
4808,18728
19876,18725
16870,18724
10964,18722
17866,18720
6865,18717
14310,18716
18961,18715
6041,18714
10292,18711
5503,18709
14974,18707
9742,18702
6546,18701
18118,18698
6793,18696
18627,18693
16026,18691
17988,18689
17606,18687
6920,18686
4886,18685
5193,18684
9772,18683
16293,18682
13233,18677
6379,18669
16969,18668
13040,18667
16319,18665
15893,18662
15289,18661
12064,18656
8988,18654
13963,18653
15321,18649
16982,18647
12238,18646
18482,18644
1744,18639
17402,18636
13363,18634
13806,18631
19520,18625
1183,18624
13793,18623
13127,18622
13679,18621
2641,18619
16109,18617
16538,18614
18671,18612
15184,18611
16526,18609
13151,18608
12027,18606
465,18605
16445,18603
6777,18599
848,18591
7327,18589
13469,18587
16933,18583
1488,18581
19641,18579
5478,18577
18569,18575
4778,18573
5392,18570
15999,18568
16031,18565
8670,18563
10368,18556
5381,18555
7382,18554
6919,18553
12315,18552
1201,18551
3235,18550
10165,18549
11576,18548
366,18545
18022,18543
7910,18537
16136,18536
2966,18533
2194,18532
3929,18531
15670,18528
8298,18526
17451,18525
4239,18521
4148,18520
10645,18518
8873,18516
11701,18514
19834,18512
6260,18509
13,18508
14178,18506
12788,18505
14008,18504
4962,18501
2386,18499
6032,18498
4614,18496
16593,18494
6628,18491
5354,18490
6224,18488
18458,18487
14523,18486
14074,18484
7223,18482
1839,18480
11310,18479
7963,18477
4541,18474
15130,18473
17103,18469
16649,18466
6211,18465
1680,18464
18769,18462
14234,18461
5268,18460
6586,18458
1321,18457
3259,18456
16310,18450
15486,18448
7324,18447
18466,18446
19832,18445
6639,18442
7885,18438
5740,18436
9275,18434
18219,18431
1721,18427
2940,18426
3072,18425
4216,18424
8949,18423
2613,18422
216,18421
6873,18420
14534,18417
12245,18415
11013,18414
2774,18413
89,18412
7953,18411
2115,18407
14240,18406
18357,18404
6186,18402
7958,18398
10163,18397
10139,18396
19994,18395
14565,18394
12904,18393
13873,18392
1220,18391
3164,18390
1498,18389
14228,18388
2587,18385
12506,18383
4733,18382
9875,18379
9311,18378
761,18376
13268,18375
6695,18373
3612,18372
4316,18370
15008,18369
4137,18366
6955,18365
18825,18363
8744,18360
19313,18359
7268,18356
626,18353
11347,18350
17268,18345
15413,18344
19937,18343
5152,18342
11731,18340
214,18338
15075,18337
17096,18336
6045,18334
3250,18333
12257,18331
17604,18330
6192,18328
18393,18325
7269,18322
18190,18320
2965,18318
1807,18316
13825,18314
15272,18311
15931,18310
17560,18308
15970,18307
16452,18306
17249,18305
7976,18303
6108,18302
14573,18297
3683,18295
3987,18293
4135,18291
11752,18283
19195,18282
11344,18279
507,18277
9008,18276
12853,18275
369,18274
12946,18272
2722,18271
12754,18270
2661,18269
13570,18267
18158,18266
8099,18265
19156,18264
8667,18260
7990,18258
17257,18257
10025,18256
256,18254
10175,18253
13530,18252
12689,18251
4699,18250
580,18248
6894,18246
4175,18244
2562,18240
111,18238
11590,18234
2916,18233
7996,18232
837,18231
15157,18230
2700,18229
8746,18228
19407,18226
5594,18225
471,18224
16547,18221
2911,18218
3173,18215
9801,18213
6381,18212
14805,18211
9006,18210
9763,18208
19583,18206
2140,18204
8849,18202
1501,18200
3874,18198
7737,18197
19849,18196
2880,18195
16961,18194
14879,18191
6783,18190
17919,18189
1250,18185
9644,18184
19441,18183
6030,18182
13313,18181
4853,18178
7525,18173
15358,18167
342,18163
18743,18162
17701,18161
264,18160
6172,18156
11632,18155
7956,18151
13029,18149
1608,18147
3618,18146
16720,18142
12802,18139
18926,18138
15973,18136
1640,18135
8722,18132
16496,18130
14817,18119
4604,18118
15761,18113
1763,18105
11276,18104
19825,18101
10172,18100
6006,18098
11645,18094
2205,18093
13885,18092
18527,18091
17410,18086
3411,18084
15292,18083
3809,18080
11532,18079
10809,18076
8361,18074
1251,18072
2139,18071
4170,18069
14630,18068
4152,18066
18909,18062
19779,18061
4041,18060
1771,18059
18713,18057
16962,18056
12698,18052
8279,18050
19447,18048
18256,18047
9008,18039
15588,18038
2472,18034
18813,18032
18882,18029
915,18028
8565,18022
9855,18020
13439,18019
5765,18018
15370,18016
9378,18012
16254,18006
11416,18005
9013,18004
17082,18000
16921,17998
1219,17997
3620,17993
5225,17992
16130,17990
18259,17988
8339,17987
5872,17982
14587,17981
159,17980
9799,17979
15653,17978
4902,17977
16005,17976
7652,17974
698,17973
15319,17972
3668,17971
2851,17968
17581,17967
8123,17966
444,17965
7354,17963
8546,17962
18580,17961
18551,17960
16957,17959
12253,17957
6867,17955
15903,17950
3658,17948
2433,17947
1873,17943
7197,17942
2129,17941
14425,17939
3691,17936
10949,17935
2326,17932
14957,17931
18907,17926
11842,17924
17361,17923
5872,17922
10452,17921
14893,17917
10873,17914
5667,17913
3868,17912
1598,17911
19787,17909
18343,17907
14915,17906
9061,17905
8365,17902
16463,17900
9627,17899
541,17898
19976,17897
5876,17896
3606,17895
8013,17894
5068,17891
11428,17890
14441,17888
3079,17883
2671,17879
187,17875
19550,17874
7289,17873
3138,17872
6790,17867
15238,17865
10720,17864
3514,17859
19767,17858
4780,17857
11395,17856
1801,17854
16351,17852
17469,17850
9084,17849
17451,17848
10654,17846
9994,17845
4459,17842
6485,17836
1419,17833
18916,17829
9130,17828
17094,17826
7506,17825
2349,17821
13341,17819
11128,17818
18285,17813
13531,17806
15167,17804
5407,17799
1537,17795
11279,17794
17060,17793
16416,17792
6159,17791
19415,17790
1608,17788
10501,17787
860,17786
9833,17783
11879,17782
17572,17780
11726,17779
2304,17777
10090,17776
15267,17774
10648,17773
14731,17772
16830,17771
5949,17765
11195,17763
10736,17762
1451,17761
10262,17760
1211,17759
13920,17758
18059,17757
16877,17756
8095,17755
7380,17753
3754,17752
10163,17748
1916,17747
4499,17746
5931,17745
15212,17743
3915,17739
14143,17735
14185,17732
11228,17728
12907,17727
11416,17726
355,17725
13745,17724
9308,17721
7931,17715
10654,17714
709,17712
9412,17711
1366,17707
6628,17706
11645,17703
14414,17702
19980,17697
15822,17696
17911,17693
5118,17692
8386,17691
15483,17690
7557,17688
10491,17687
5064,17686
15988,17682
3735,17681
13805,17679
10249,17678
12908,17677
7422,17676
12995,17675
912,17674
511,17669
1315,17666
2938,17664
4482,17663
17843,17662
19959,17659
11793,17658
4091,17657
9710,17656
8949,17654
5100,17653
11359,17651
5311,17649
7512,17648
4627,17647
358,17642
19528,17641
13058,17639
4376,17637
18223,17636
1013,17635
6171,17633
8743,17629
7691,17628
17681,17627
9361,17625
1671,17624
7818,17623
4872,17622
19029,17620
8183,17619
14594,17616
8248,17615
603,17613
13697,17609
3319,17608
16148,17606
7344,17605
2006,17601
6384,17600
12277,17598
10406,17597
5523,17594
4905,17593
4448,17592
987,17590
18883,17589
8923,17588
11195,17586
17748,17585
5172,17584
1535,17582
18396,17580
507,17578
6585,17576
1108,17574
17808,17569
9158,17565
5225,17564
4699,17563
1997,17559
16122,17558
13362,17556
17696,17554
13904,17553
12873,17552
19023,17551
10503,17550
1290,17548
19223,17547
5248,17546
16312,17545
212,17542
13385,17538
13972,17537
12084,17536
11480,17535
2190,17534
1285,17533
19967,17532
15229,17530
7260,17529
13685,17528
5973,17526
6629,17525
3892,17522
9858,17518
10329,17517
16011,17516
2370,17514
12539,17510
19792,17509
17219,17508
19277,17507
2994,17506
10996,17505
3557,17504
15829,17501
2614,17500
12669,17496
12236,17495
13519,17491
13197,17490
12291,17488
16114,17487
1148,17486
8564,17485
8358,17484
16672,17483
17448,17481
13371,17480
19122,17478
12335,17477
16211,17475
15125,17474
14186,17473
16122,17472
16249,17471
6154,17468
8043,17465
9994,17460
13581,17459
14441,17458
5642,17455
11458,17454
13677,17451
17703,17449
4775,17444
12584,17442
18069,17441
6449,17440
6113,17439
11226,17438
6548,17436
10253,17434
10149,17432
13267,17428
6248,17427
10492,17425
14167,17421
4368,17418
3796,17417
13427,17411
14813,17408
15644,17407
10440,17406
6939,17403
17725,17402
4149,17401
1594,17400
2886,17399
13542,17397
4231,17396
16714,17393
15793,17392
5328,17387
3255,17379
11139,17377
15440,17375
19850,17374
3319,17372
19205,17371
14010,17367
19656,17366
19671,17364
12243,17363
12314,17362
10679,17361
16923,17360
12355,17358
12950,17357
2953,17355
10794,17354
4845,17352
3236,17351
12284,17349
1923,17343
440,17338
19273,17336
11912,17335
5047,17334
16940,17333
8168,17329
17857,17328
994,17326
12362,17325
15810,17321
3198,17320
4139,17319
3671,17318
10353,17317
5422,17316
10345,17312
11377,17310
17478,17309
362,17308
12825,17306
12873,17304
11573,17303
4240,17301
949,17299
15625,17298
19918,17295
924,17294
6454,17293
10860,17292
13494,17291
3450,17290
10244,17288
3135,17287
18959,17286
18947,17285
11701,17278
7281,17277
17935,17276
7446,17275
15437,17274
12372,17272
2602,17270
19244,17269
10903,17263
3292,17260
3333,17259
2941,17257
6864,17256
11049,17255
3120,17253
15725,17250
13619,17249
3076,17247
3470,17245
9980,17244
6809,17243
3987,17242
17592,17241
8928,17238
10092,17237
9877,17236
14472,17234
1811,17233
3491,17232
9373,17230
14001,17227
778,17226
17805,17225
15519,17224
5680,17223
6316,17222
12827,17221
2671,17219
3986,17216
12680,17215
14730,17214
15724,17209
17319,17206
11345,17204
12929,17201
4560,17197
14342,17196
6145,17194
9223,17193
12570,17188
14090,17187
8794,17186
406,17185
15530,17184
11031,17183
2088,17180
8971,17178
10146,17175
190,17173
1066,17168
9552,17166
6223,17165
14289,17164
19058,17163
16090,17162
17163,17161
5992,17157
12749,17155
14686,17153
324,17152
8888,17151
10645,17149
8425,17148
1203,17147
8966,17146
12619,17144
12578,17141
15063,17139
480,17138
8707,17137
17438,17132
4110,17131
14810,17130
9463,17128
2152,17126
8407,17125
8829,17121
19514,17119
423,17117
4447,17116
7440,17115
11829,17114
12254,17113
3565,17112
17284,17110
3188,17109
18498,17107
19995,17102
10103,17101
1949,17099
971,17098
6364,17095
7416,17094
17119,17092
2657,17090
9228,17089
14689,17088
10522,17086
17116,17083
10211,17082
16385,17076
13533,17075
18845,17074
10258,17072
1304,17070
17171,17069
2016,17068
11335,17065
598,17062
18544,17061
14855,17060
7234,17058
16642,17057
1527,17055
5293,17053
17715,17052
8634,17051
16323,17050
4101,17048
19485,17047
5326,17045
10556,17042
13681,17040
1964,17039
19623,17036
18976,17034
17851,17030
3235,17027
467,17026
130,17025
5624,17022
8201,17018
18666,17017
5292,17016
11537,17014
1645,17012
12137,17010
13385,17008
6817,17007
8315,17006
19388,17005
16278,17004
9930,17000
16922,16999
11501,16997
8774,16995
2127,16993
1187,16992
6798,16991
10589,16990
7082,16988
14186,16987
2035,16985
8103,16984
5044,16983
12704,16982
4272,16981
16551,16979
15256,16977
4719,16973
19796,16972
17476,16971
18369,16970
15443,16966
3063,16963
5582,16961
3893,16959
10,16958
8361,16956
5088,16955
6673,16952
18194,16950
1169,16946
2495,16944
489,16942
7440,16940
19,16939
13383,16938
12490,16937
9254,16935
17832,16933
10992,16931
14368,16930
2176,16927
11558,16920
9625,16919
672,16918
9326,16917
8763,16916
13453,16912
4828,16911
4207,16910
14141,16909
19927,16908
9047,16906
6675,16904
12428,16903
12519,16902
4499,16898
17649,16897
1421,16896
9929,16894
248,16893
10067,16890
17285,16887
4597,16886
5136,16885
15427,16884
11841,16883
13684,16882
7055,16877
5523,16875
18488,16874
5471,16869
13522,16866
18024,16865
14091,16864
7555,16863
1063,16859
17850,16857
6214,16855
11363,16853
194,16852
7169,16850
5108,16849
624,16847
5097,16845
17075,16844
7749,16839
13653,16838
3581,16836
5132,16834
5427,16833
16499,16831
13173,16827
13343,16825
18761,16823
9971,16822
6387,16816
15787,16814
1809,16812
2591,16807
12422,16806
7947,16805
4798,16801
7286,16800
17142,16793
18335,16792
4783,16789
2707,16788
1599,16786
10187,16785
3307,16784
18826,16783
7498,16782
19851,16780
17453,16777
1757,16776
7137,16774
9452,16763
4317,16761
12639,16759
700,16756
7445,16751
8815,16749
18236,16748
2295,16744
15931,16743
18603,16739
9069,16737
8432,16736
10066,16735
1696,16731
17518,16728
6441,16727
13748,16726
3299,16722
3477,16721
11415,16720
15229,16718
7312,16715
2408,16714
11186,16713
15954,16712
6284,16707
12790,16706
12490,16705
9177,16704
18778,16703
11906,16701
12521,16700
1297,16696
1550,16695
15389,16693
17406,16692
7633,16691
3529,16690
16914,16688
6991,16687
633,16686
9756,16685
14689,16684
18157,16680
12604,16679
5856,16678
14275,16676
9177,16672
7267,16670
17619,16668
1346,16666
15117,16665
10674,16661
8907,16659
15665,16658
5664,16656
11284,16655
8544,16654
13969,16652
17070,16649
17408,16647
10127,16646
15802,16645
17971,16643
19150,16637
8325,16636
5374,16634
3467,16633
10462,16632
3554,16631
11041,16629
16128,16627
17207,16626
8336,16625
5953,16622
12036,16618
15103,16616
9007,16614
9151,16608
1460,16607
15297,16603
4935,16599
16631,16597
15432,16596
10857,16595
10613,16592
16973,16590
13947,16589
13103,16586
16502,16585
5810,16584
6355,16583
5092,16582
13489,16581
11527,16580
17313,16579
9386,16577
8299,16576
14818,16575
5975,16574
18568,16572
5437,16571
10184,16569
19519,16567
17612,16565
2168,16563
15332,16561
18263,16560
17945,16559
10735,16557
13390,16555
3767,16554
17684,16550
13811,16548
17683,16547
14034,16545
16029,16544
10754,16542
3130,16541
987,16539
13933,16537
469,16534
2781,16528
6759,16526
16207,16523
5503,16521
2549,16519
2186,16513
14380,16511
5781,16510
5814,16508
5913,16505
6057,16503
442,16502
15610,16501
16313,16499
7382,16495
10827,16494
17533,16492
4649,16491
812,16484
11767,16483
16590,16482
1290,16480
7117,16479
1187,16476
18746,16475
10429,16474
11724,16473
10303,16471
9534,16469
6678,16466
17295,16465
10696,16461
15349,16452
15456,16450
12979,16448
16268,16447
1294,16446
8806,16444
18217,16443
10298,16442
3471,16441
10747,16440
13646,16438
18593,16437
17662,16435
1060,16429
924,16426
1166,16422
4564,16421
9837,16420
17193,16418
15212,16417
14361,16415
19650,16414
306,16413
10749,16412
19580,16409
7930,16404
15077,16403
866,16402
19910,16399
9068,16397
13929,16396
9451,16394
2121,16391
16295,16390
12209,16389
888,16387
1483,16386
4005,16384
7895,16380
10563,16379
1589,16377
19415,16374
18506,16372
12439,16371
5723,16370
9862,16369
19417,16367
1069,16365
13172,16364
9768,16362
1793,16361
307,16360
466,16359
5940,16350
10197,16349
11705,16348
12421,16347
7747,16343
15074,16342
19761,16340
2046,16337
19449,16336
5755,16335
17834,16333
17372,16332
4764,16331
743,16327
8203,16325
15264,16323
18820,16322
13522,16321
15695,16320
2480,16319
1456,16318
1676,16317
658,16316
2499,16315
10285,16314
18093,16312
15320,16311
19940,16309
9519,16306
12290,16305
8350,16303
17335,16298
13507,16296
15236,16295
2220,16294
1667,16292
19499,16288
14276,16287
14509,16285
3658,16281
5206,16280
252,16279
18392,16277
18831,16275
10000,16274
1066,16273
16486,16267
18417,16263
5578,16262
2587,16255
18967,16253
16847,16252
11572,16249
5371,16247
3587,16246
11271,16245
15486,16242
14740,16240
15860,16239
17165,16235
15109,16233
283,16226
7412,16225
19539,16224
16688,16223
16110,16220
12160,16218
379,16216
6626,16215
15161,16212
11321,16210
9308,16209
18963,16208
18199,16206
13252,16205
13117,16204
924,16203
4280,16199
12928,16193
14634,16186
14892,16185
9786,16184
2653,16183
7137,16182
472,16181
17919,16170
2055,16169
8873,16167
1124,16165
1638,16163
15046,16162
4770,16161
16834,16159
3557,16157
7874,16156
16628,16153
12684,16152
336,16151
18451,16149
6362,16148
848,16146
18539,16145
4143,16143
11378,16142
3100,16141
10505,16140
9325,16138
13008,16137
15925,16134
9866,16131
8638,16129
13467,16127
6332,16124
17359,16121
13884,16120
6368,16116
8536,16109
8651,16108
13876,16105
445,16101
5624,16095
169,16092
18760,16090
7870,16089
9904,16088
11754,16087
12261,16085
8628,16082
58,16080
15626,16075
9231,16073
7031,16072
12442,16070
11136,16067
17916,16064
11259,16063
3694,16061
15634,16057
476,16055
9304,16054
15905,16053
18844,16051
12138,16050
285,16049
17157,16045
529,16041
4621,16040
6000,16038
14804,16037
19811,16035
9515,16033
12145,16027
16362,16025
17249,16020
19575,16016
3067,16013
18527,16010
6460,16006
8120,16005
89,16000
8551,15999
722,15996
12728,15993
715,15992
14500,15991
10715,15990
2026,15988
3491,15987
15658,15986
7139,15985
17793,15982
13416,15980
8385,15979
1768,15978
4022,15976
19956,15973
6098,15971
13380,15969
12851,15967
19565,15962
699,15952
5715,15950
10374,15946
2958,15943
19833,15941
4699,15940
1284,15939
19998,15938
5600,15936
2591,15934
1980,15933
15226,15931
14847,15930
6293,15929
3831,15928
19076,15927
9857,15926
274,15925
19345,15924
13853,15922
1796,15919
17517,15910
2714,15909
10154,15908
10367,15907
14023,15906
9501,15905
10733,15903
14256,15902
2401,15901
4283,15900
12772,15899
5854,15897
5887,15896
12462,15894
18168,15892
7197,15891
17363,15890
10187,15888
10229,15887
5516,15886
2013,15881
201,15877
7646,15876
455,15875
14971,15873
16519,15872
11828,15870
2305,15869
19051,15867
16534,15866
9296,15864
19220,15863
15511,15862
6647,15859
11610,15858
3566,15857
19851,15855
8662,15854
8170,15852
17988,15850
9623,15849
15455,15843
13278,15841
7459,15840
13709,15839
12775,15838
4940,15836
14246,15834
15713,15831
9811,15830
2643,15829
3916,15828
13746,15827
15376,15826
6153,15825
9444,15824
6553,15823
2426,15820
17266,15819
10149,15818
5479,15814
672,15813
11594,15810
2542,15809
16317,15806
14858,15805
10368,15804
6984,15801
15639,15798
16836,15790
18166,15783
3663,15781
11164,15779
1482,15778
18882,15777
3375,15775
5814,15772
17491,15769
12872,15768
18627,15765
12738,15763
17544,15761
19768,15759
15277,15758
9139,15751
3682,15750
13917,15748
7283,15747
11601,15745
3340,15744
3065,15741
16513,15740
18345,15739
2650,15738
4500,15733
9536,15731
15058,15730
3995,15722
412,15721
1903,15719
7752,15716
17879,15715
13363,15714
4855,15713
1459,15711
12101,15709
16899,15702
10824,15700
2439,15698
13639,15693
16316,15692
12240,15691
14157,15690
7597,15684
6299,15682
4793,15680
13685,15679
5186,15678
18129,15673
438,15669
5588,15668
19381,15667
1917,15665
17081,15662
6708,15661
11781,15658
9479,15657
6150,15656
9495,15655
3309,15650
1157,15649
4739,15648
16551,15646
8225,15645
18327,15643
39,15640
8893,15639
4797,15638
1355,15636
14888,15635
6011,15634
2168,15631
19949,15628
8076,15627
6898,15623
2061,15622
8346,15620
17114,15615
18928,15609
19454,15606
6084,15605
12078,15604
6418,15600
15773,15599
19448,15597
3838,15595
17534,15594
17734,15593
10083,15592
16634,15586
445,15583
19985,15582
15605,15580
9338,15577
18338,15576
7974,15575
19289,15571
10404,15564
1909,15561
6647,15557
6432,15554
4060,15551
2135,15550
14912,15547
11334,15546
7421,15544
2517,15543
14678,15542
3282,15541
4215,15540
19621,15539
7507,15537
9324,15535
13008,15534
3732,15533
4375,15531
6669,15529
2618,15528
7747,15525
6677,15524
3375,15521
6785,15518
19848,15517
9428,15515
9264,15514
14316,15512
10074,15511
3521,15510
15485,15509
8102,15507
7883,15505
16187,15503
3497,15501
9969,15499
18814,15497
14693,15490
1407,15486
1013,15483
19359,15481
15428,15478
7871,15476
16,15475
5121,15473
6544,15472
17360,15471
16474,15470
12314,15469
18296,15468
14032,15467
5411,15465
18185,15463
4484,15462
17723,15461
3050,15458
2057,15457
15484,15456
16476,15455
2754,15454
10616,15453
6596,15451
693,15450
9894,15449
3679,15448
10975,15447
4200,15446
19323,15445
18556,15443
19668,15442
6636,15437
17808,15436
6929,15435
16676,15434
3230,15433
3958,15432
5013,15431
15123,15430
14961,15429
14273,15428
17211,15425
5013,15424
15494,15423
12780,15422
18121,15421
7195,15418
18347,15414
2502,15411
13969,15410
1477,15409
6491,15405
8672,15403
13437,15402
5881,15400
1821,15399
642,15397
9984,15395
7343,15394
15141,15393
19664,15392
19173,15385
10834,15384
8538,15382
1857,15381
2607,15380
3515,15379
15858,15376
7345,15375
5744,15373
12330,15371
16224,15366
2208,15365
5419,15362
1075,15361
17791,15360
8814,15359
14653,15358
14834,15356
1958,15354
18147,15353
2582,15352
732,15351
13989,15350
808,15347
18790,15343
17323,15342
10571,15340
11424,15339
17027,15338
16194,15335
11875,15334
7907,15333
714,15332
15820,15331
6864,15330
6770,15329
10017,15328
1624,15326
16276,15322
17959,15319
4896,15318
5912,15317
2197,15315
18107,15314
2317,15310
11405,15309
4746,15306
3242,15304
4150,15303
238,15302
